Nombre	Fecha	Hora	 N Modulo	Pmp	Vmp	Imp	Isc	Voc	FF	Sensor  1 T	Sensor  2 T	Sensor  3 T	Sensor  4 T	Sensor  5 B	Sensor  6 B	Sensor  7 B	Sensor  8 B	Sensor  9 AI	Sensor  10 AI	Sensor  11 AI	Sensor  12 AI	
RR1000	03/03/2023	18:10:18	 1,000	 0,4398	 5,072	 0,08671	 0,1630	 17,72	 0,1522	 14,41	 0,000	 0,000	 0,000	 0,09996	 0,005757	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	03/03/2023	18:10:30	 2,000	 0,01841	 2,309	 0,007975	 0,02534	 10,85	 0,06696	 0,000	 14,09	 0,000	 0,000	 0,09996	 0,005745	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	03/03/2023	18:10:40	 3,000	 0,001306	 1,964	 0,0006649	 0,001104	 8,273	 0,1430	 0,000	 0,000	 14,50	 0,000	 0,09996	 0,005718	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	03/03/2023	18:10:50	 4,000	 0,005859	 3,794	 0,001544	 0,001906	 13,16	 0,2334	 0,000	 0,000	 0,000	 14,78	 0,09996	 0,005696	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	03/03/2023	18:11:00	 1,000	 0,4336	 5,070	 0,08552	 0,1612	 17,71	 0,1519	 14,40	 0,000	 0,000	 0,000	 0,09996	 0,005653	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	03/03/2023	18:11:10	 2,000	 0,01584	 2,310	 0,006857	 0,02467	 10,90	 0,05893	 0,000	 14,09	 0,000	 0,000	 0,09996	 0,005623	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	03/03/2023	18:11:20	 3,000	 0,00001516	 -0,03177	 -0,0004772	 -0,0003396	 8,292	 -0,005384	 0,000	 0,000	 14,48	 0,000	 0,09996	 0,005589	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	03/03/2023	18:11:30	 4,000	 0,003902	 4,710	 0,0008285	 0,001710	 13,08	 0,1744	 0,000	 0,000	 0,000	 14,73	 0,09996	 0,005553	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	03/03/2023	18:11:40	 1,000	 0,4251	 5,068	 0,08388	 0,1596	 17,70	 0,1504	 14,34	 0,000	 0,000	 0,000	 0,09996	 0,005528	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	03/03/2023	18:11:50	 2,000	 0,01920	 2,475	 0,007756	 0,02421	 10,86	 0,07300	 0,000	 14,03	 0,000	 0,000	 0,09996	 0,005495	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	03/03/2023	18:12:00	 3,000	 0,003396	 2,630	 0,001291	 -0,0004315	 8,248	 -0,9541	 0,000	 0,000	 14,44	 0,000	 0,09996	 0,005467	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	03/03/2023	18:12:10	 4,000	 0,004162	 2,963	 0,001405	 0,001360	 13,13	 0,2331	 0,000	 0,000	 0,000	 14,78	 0,09996	 0,005446	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
Nombre	Fecha	Hora	 N Modulo	Pmp	Vmp	Imp	Isc	Voc	FF	Sensor  1 T	Sensor  2 T	Sensor  3 T	Sensor  4 T	Sensor  5 B	Sensor  6 B	Sensor  7 B	Sensor  8 B	Sensor  9 AI	Sensor  10 AI	Sensor  11 AI	Sensor  12 AI	
RR1000	03/03/2023	18:12:53	 1,000	 0,4198	 5,066	 0,08287	 0,1495	 17,69	 0,1587	 14,18	 0,000	 0,000	 0,000	 0,09996	 0,005324	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	03/03/2023	18:13:04	 2,000	 0,01479	 2,474	 0,005977	 0,008705	 10,86	 0,1564	 0,000	 13,93	 0,000	 0,000	 0,09996	 0,005294	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
